,codigo_pedido,codigo_cliente,data_nascimento_cliente,data_pedido,data,flg_bf,compras_bf
0,a071669a5000ce07ad709886c8109906,3bfcd49a281054bbf95c03b31fb5e5ef,2000-01-01 00:00:00,2018-11-23,2018-11-23,1,3.0
1,ca2360f9f20482f1f0d851a15ae67498,3bfcd49a281054bbf95c03b31fb5e5ef,2000-01-01 00:00:00,2018-11-23,2018-11-23,1,3.0
2,cb422c641730320669dc49b88c069a00,3bfcd49a281054bbf95c03b31fb5e5ef,2000-01-01 00:00:00,2018-11-23,2018-11-23,1,3.0
3,79c099aad613fdef0513ff7406def552,1375a4e01d48112497bf2df7e5645cfc,1954-07-16 00:00:00,2018-11-23,2018-11-23,1,3.0
4,65fadecf7fb51a5a2f7c5584b4253796,1375a4e01d48112497bf2df7e5645cfc,1954-07-16 00:00:00,2018-11-23,2018-11-23,1,3.0
5,499e2849f9afbb4fccdba73217fdccf5,1375a4e01d48112497bf2df7e5645cfc,1954-07-16 00:00:00,2018-11-23,2018-11-23,1,3.0
6,89891b0fb79a2a12ebcd0679d38eee21,3531fd9696a342b7478851e6c542dd10,1980-09-15 00:00:00,2018-11-23,2018-11-23,1,4.0
7,93739f8de519754187ad658e596e34e9,3531fd9696a342b7478851e6c542dd10,1980-09-15 00:00:00,2018-11-23,2018-11-23,1,4.0
8,d8377fd1b2e23854a3f498f1eb839ff1,3531fd9696a342b7478851e6c542dd10,1980-09-15 00:00:00,2018-11-23,2018-11-23,1,4.0
9,d625ef0b671a3c473e15e5ac942b9b4a,3531fd9696a342b7478851e6c542dd10,1980-09-15 00:00:00,2018-11-23,2018-11-23,1,4.0
10,6afb1d305029c61dae6a8a04d84a9280,bd0455c549e900b23924795b77bdc0fe,1984-03-18 00:00:00,2018-11-23,2018-11-23,1,3.0
11,402f9b48112f231ebd43a7406a807d56,bd0455c549e900b23924795b77bdc0fe,1984-03-18 00:00:00,2018-11-23,2018-11-23,1,3.0
12,9cef3bdfac0d536c7dee1cdf03499ae0,bd0455c549e900b23924795b77bdc0fe,1984-03-18 00:00:00,2018-11-23,2018-11-23,1,3.0
13,413131491beb7abf5067d57eee8bbd71,057ae5d7ef3fcdd74a538b8528fb5ab9,1953-10-06 00:00:00,2018-11-23,2018-11-23,1,3.0
14,20877c61a382149085ce7ef49a92ea77,057ae5d7ef3fcdd74a538b8528fb5ab9,1953-10-06 00:00:00,2018-11-23,2018-11-23,1,3.0
15,137ab8165be5db8c58c4d4014dad0077,057ae5d7ef3fcdd74a538b8528fb5ab9,1953-10-06 00:00:00,2018-11-23,2018-11-23,1,3.0
16,f8dc7bed4c70a7332111d6d1ada2424c,d2b6a6676c81b7e847497c5a348be7dd,1962-10-13 00:00:00,2018-11-23,2018-11-23,1,3.0
17,a728017a235afb93fc3a879dedac5cc5,d2b6a6676c81b7e847497c5a348be7dd,1962-10-13 00:00:00,2018-11-23,2018-11-23,1,3.0
18,e3ab8c2f6106f78f74f0d23288759bcd,d2b6a6676c81b7e847497c5a348be7dd,1962-10-13 00:00:00,2018-11-23,2018-11-23,1,3.0
19,9134ed837d25b346f0934ef6a56c458d,e40809b3ff1805b54f4472ea2d670ea0,1984-07-18 00:00:00,2018-11-23,2018-11-23,1,4.0
20,36a78e5641a6a1ae473169bfa4906470,e40809b3ff1805b54f4472ea2d670ea0,1984-07-18 00:00:00,2018-11-23,2018-11-23,1,4.0
21,cb02967adea0419c430e70014c07bec0,e40809b3ff1805b54f4472ea2d670ea0,1984-07-18 00:00:00,2018-11-23,2018-11-23,1,4.0
22,4a9c11a497257ee5df688e1c2c7213c1,e40809b3ff1805b54f4472ea2d670ea0,1984-07-18 00:00:00,2018-11-23,2018-11-23,1,4.0
23,b411b292f7d37613372ceb3692ee71bb,c3f1cb573d199ae930b608b09d4ef18b,1969-10-11 00:00:00,2017-11-24,,,3.0
24,85074a86d1db2788a9bccfb92d089c8e,c3f1cb573d199ae930b608b09d4ef18b,1969-10-11 00:00:00,2018-11-23,2018-11-23,1,3.0
25,5a0919605b2d89b96839bdf970fc91f1,c3f1cb573d199ae930b608b09d4ef18b,1969-10-11 00:00:00,2018-11-23,2018-11-23,1,3.0
26,b23880c3fe62eca6e045c673c2818de1,c3f1cb573d199ae930b608b09d4ef18b,1969-10-11 00:00:00,2018-11-23,2018-11-23,1,3.0
27,aede83e21d3683a716106a85d208ded9,18d6c857acbfb21b50633ebf0fb59bb3,1990-09-16 00:00:00,2018-11-23,2018-11-23,1,3.0
